"Function Code","Enum Name","Enum Value","Item Description","Parameter","Dependant Parameter","Dependant Enum Name"
0x2bc0004,"TrueNorth","8","TrueNorth","CLOCKINGOPTION","NULL","NULL"
0x2bc0004,"TrueNorthAtTgt","9","TrueNorthAtTgt","CLOCKINGOPTION","NULL","NULL"
0x2bc0004,"TgtVelocity","10","TgtVelocity","CLOCKINGOPTION","NULL","NULL"
0x2bc0004,"InertialVector","11","InertialVector","CLOCKINGOPTION","NULL","NULL"
0x2bc0004,"CBOrbitNormal","12","CBOrbitNormal","CLOCKINGOPTION","NULL","NULL"
0x2bc0004,"SCOrbitNormal","13","SCOrbitNormal","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"EigenSlew","0","EigenSlew","SLEWMODE","NULL","NULL"
0x2bc0005,"RendezSlew","1","RendezSlew","SLEWMODE","NULL","NULL"
0x2bc0005,"RendezSlew_SLOW","2","RendezSlew_SLOW","SLEWMODE","NULL","NULL"
0x2bc0005,"InertialPoint","0","InertialPoint","TRACKMODE","NULL","NULL"
0x2bc0005,"SunTrack","1","SunTrack","TRACKMODE","NULL","NULL"
0x2bc0005,"MarsTrack","2","MarsTrack","TRACKMODE","NULL","NULL"
0x2bc0005,"EarthTrack","3","EarthTrack","TRACKMODE","NULL","NULL"
0x2bc0005,"VelocityTrack","4","VelocityTrack","TRACKMODE","NULL","NULL"
0x2bc0005,"TargetTrack","5","TargetTrack","TRACKMODE","NULL","NULL"
0x2bc0005,"OrbitTrack","6","OrbitTrack","TRACKMODE","NULL","NULL"
0x2bc0005,"InertialFixed","0","InertialFixed","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"SC2Sun","1","SC2Sun","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"SC2NadirDetic","2","SC2NadirDetic","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"SC2NadirCentric","3","SC2NadirCentric","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"SCVelocity","4","SCVelocity","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"SCMagField","5","SCMagField","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"SC2Tgt","6","SC2Tgt","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"TgtNormal","7","TgtNormal","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"TrueNorth","8","TrueNorth","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"TrueNorthAtTgt","9","TrueNorthAtTgt","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"TgtVelocity","10","TgtVelocity","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"InertialVector","11","InertialVector","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"CBOrbitNormal","12","CBOrbitNormal","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"SCOrbitNormal","13","SCOrbitNormal","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"Sun","0","Sun","CLOCKINGCELESTIALBODY","NULL","NULL"
0x2bc0005,"Earth","1","Earth","CLOCKINGCELESTIALBODY","NULL","NULL"
0x2bc0005,"Mars","2","Mars","CLOCKINGCELESTIALBODY","NULL","NULL"
0x2bc0006,"EigenSlew","0","EigenSlew","SLEWMODE","NULL","NULL"
0x2bc0006,"RendezSlew","1","RendezSlew","SLEWMODE","NULL","NULL"
0x2bc0006,"RendezSlew_SLOW","2","RendezSlew_SLOW","SLEWMODE","NULL","NULL"
0x2bc0007,"EigenSlew","0","EigenSlew","SLEWMODE","NULL","NULL"
0x2bc0007,"RendezSlew","1","RendezSlew","SLEWMODE","NULL","NULL"
0x2bc0007,"RendezSlew_SLOW","2","RendezSlew_SLOW","SLEWMODE","NULL","NULL"
0x26c0000,"Standard","0","Standard","ATTCONTROLLER","NULL","NULL"
0x26c0001,"Standard","0","Standard","MOMCONTROLLER","NULL","NULL"
0x26c0002,"Standard","0","Standard","FFWCONTROLLER","NULL","NULL"
0x26c0003,"NORMAL_OPS","0","NORMAL_OPS","MISSIONMODE","NULL","NULL"
0x26c0003,"SAFE_MODE","1","SAFE_MODE","MISSIONMODE","NULL","NULL"
0x26c0004,"Nominal","0","Nominal","VEHCONFIG","NULL","NULL"
0x9c40000,"DISABLE","0","Disable","FI_ENABLE","NULL","NULL"
0x9c40000,"ENABLE","1","Enable","FI_ENABLE","NULL","NULL"
0x9c40001,"DISABLE","0","Disable","FI_ENABLE","NULL","NULL"
0x9c40001,"ENABLE","1","Enable","FI_ENABLE","NULL","NULL"
0x9c40002,"DISABLE","0","Disable","FI_ENABLE","NULL","NULL"
0x9c40002,"ENABLE","1","Enable","FI_ENABLE","NULL","NULL"
0x9c40003,"DISABLE","0","Disable","FI_ENABLE","NULL","NULL"
0x9c40003,"ENABLE","1","Enable","FI_ENABLE","NULL","NULL"
0x9c40004,"DISABLE","0","Disable","FI_ENABLE","NULL","NULL"
0x9c40004,"ENABLE","1","Enable","FI_ENABLE","NULL","NULL"
0x9c40005,"DISABLE","0","Disable","FI_ENABLE","NULL","NULL"
0x9c40005,"ENABLE","1","Enable","FI_ENABLE","NULL","NULL"
